Theta1,Theta2,Lambda1,Lambda2
1.2182382978682982,-0.9331703867488014,7.261361187141434,2.1004769374275716
1.2216762168763993,-0.9308784407434008,7.269615226647259,2.101319448274235
1.2251483440338347,-0.9285636893051106,7.277905691843282,2.1021724622733626
1.2286546793406043,-0.9262261324339308,7.2862313403335115,2.103036087709274
1.2321952227967083,-0.9238657701298615,7.294590910850783,2.103910431405874
1.2357699744021469,-0.9214826023929026,7.302983123098102,2.1047955986576126
1.2393789341569197,-0.9190766292230542,7.31140667759094,2.1056916931604452
1.2430221020610268,-0.9166478506203163,7.319860255500597,2.106598816942839
1.2466994781144682,-0.9141962665846888,7.328342518498709,2.1075170702968524
1.250411062317244,-0.9117218771161717,7.336852108602999,2.1084465517093367
1.254156854669354,-0.909224682214765,7.3453876480243965,2.109387357793303
1.2579368551707986,-0.9067046818804688,7.353947739015595,2.110339583219481
1.2617510638215774,-0.904161876113283,7.362530963721159,2.111303320648134
1.2655994806216906,-0.9015962649132077,7.371135884029316,2.112278660661152
1.269482105571138,-0.8990078482802428,7.379761041425495,2.1132656916944943
1.2733989386699198,-0.8963966262143884,7.388404956847758,2.114264499970997
1.277349979918036,-0.8937625987156445,7.3970661305442125,2.115275169433629
1.2813352293154865,-0.8911057657840109,7.405743041932547,2.116297781679211
1.2853546868622714,-0.8884261274194878,7.414434149461761,2.1173324158926774
1.2894083525583906,-0.8857236836220751,7.423137890476259,2.118379148781913
1.293496226403844,-0.8829984343917728,7.431852681082388,2.1194380545132305
1.297618308398632,-0.880250379728581,7.440576916017566,2.1205092046475364
1.301774598542754,-0.8774795196324997,7.4493089685221054,2.121592668077238
1.3059650968362106,-0.8746858541035288,7.458047190213879,2.1226885109639664
1.3101898032790016,-0.8718693831416684,7.466789910965937,2.1237967966771496
1.3144487178711268,-0.8690301067469184,7.475535438787218,2.124917585733514
1.3187418406125864,-0.8661680249192788,7.484282059706479,2.1260509357375708
1.3230691715033802,-0.8632831376587496,7.493028037659592,2.1271969013231424
1.3274307105435084,-0.8603754449653309,7.501771614380316,2.1283555340960074
